// approximate outline of the Schlossgraben Münster
// Point format:
// latitude, longitude
51.965056, 7.613329 // Startpoint
51.965222, 7.610840
51.966061, 7.608952
51.964785, 7.608104
51.963820, 7.605905
51.962716, 7.607814
51.961444, 7.608458
51.962195, 7.610819
51.962093, 7.614239
51.962993, 7.613607 // Endpoint
